"spp";"mass";"rbl";"clade";"TS";"TE"
"82";"Metatomarctus_canavus";1.221;0.676497781999996;"Borophaginae";18.5734622300301;16.2201752912435
"83";"Microtomarctus_conferta";1.088;0.680089662999992;"Borophaginae";18.1290568079157;12.4824444859453
"84";"Osbornodon_brachypus";1.406;0.703766160999986;"Hesperocyoninae";21.2799647611608;20.2900905943917
"85";"Osbornodon_fricki";1.74;0.731094764999997;"Hesperocyoninae";18.5947276719133;12.6815434562603
"86";"Osbornodon_iamonensis";1.387;0.686776011999996;"Hesperocyoninae";18.5562365437902;16.3510165588902
"87";"Osbornodon_renjiei";0.895;0.622498625000004;"Hesperocyoninae";33.8530694778134;29.2469405945099
"88";"Osbornodon_scitulus";1.282;0.678194971158067;"Hesperocyoninae";18.6600231430226;16.183896460999
"89";"Osbornodon_sesnoni";1.084;0.64401438300001;"Hesperocyoninae";31.6309753600424;25.4653789728149
"90";"Otarocyon_cooki";0.259;0.619541873999994;"Borophaginae";28.6315013918824;26.1340819454201
"91";"Otarocyon_macdonaldi";0.166;0.630293159999995;"Borophaginae";34.9901208833031;31.8528458953018
"92";"Oxetocyon_cuspidatus";0.377;0.600000000000011;"Borophaginae";31.7668389689037;29.431681763067
"93";"Paracynarctus_kelloggi";1.039;0.649744232999989;"Borophaginae";19.1011270177884;12.825917625099
"94";"Paracynarctus_sinclairi";0.97;0.693281132000005;"Borophaginae";16.2620301817464;12.6039286820139
"95";"Paraenhydrocyon_josephi";1.066;0.710000000000004;"Hesperocyoninae";28.5946507732008;18.821472694113
"96";"Paraenhydrocyon_robustus";1.192;0.702999999999985;"Hesperocyoninae";22.5246574884706;18.9743926767923
"97";"Paraenhydrocyon_wallovianus";1.373;0.709179778000012;"Hesperocyoninae";26.7077051432707;18.2735392628301
"98";"Paratomarctus_euthos";1.372;0.677406161000012;"Borophaginae";12.5428273795849;9.38857724933682
"99";"Paratomarctus_temerarius";1.222;0.663454254000003;"Borophaginae";18.0385187402083;12.4527074518404
"100";"Philotrox_condoni";0.875;0.735813369;"Hesperocyoninae";29.1307043566182;24.7733764015348
