"","Family","Genus","Species","Data_type","Size_sd","Size_Est","P4_sd","P4_Est","m1_sd","m1_Est"
"1212","Ursidae","Phoberogale","gracile","Inferred_teeth",0.292,1.316,0.045,1.095,0,1.193
"1225","Ursidae","Phoberogale","minor","Inferred_teeth",0.285,1.278,0.043,1.079,0,1.176
"1501","Procyonidae","Plesictis","dieupentalensis","Inferred_teeth",0.247,0.18,0.038,0.817,0,0.813
"124","Procyonidae","Plesictis","genetoides","Inferred_teeth",0.245,0.333,0,0.897,0,0.862
"134","Procyonidae","Plesictis","humilidens","Inferred_teeth",0.29,0.467,0,0.911,0,0.959
"1548","Procyonidae","Plesictis","julieni","Inferred_teeth",0.284,-0.054,0.041,0.722,0,0.711
"129","Procyonidae","Plesictis","laugnacensis","Inferred_teeth",0.278,0.342,0,0.903,0,0.863
"34","Procyonidae","Plesictis","mayri","Inferred_teeth",0.274,-0.002,0,0.732,0,0.744
"1368","Procyonidae","Plesictis","milloquensis","Inferred_teeth",0.243,0.618,0.04,0.993,0,1.004
"940","Procyonidae","Plesictis","palustris","Inferred_Phylogeny",0.366,0.278,0.102,0.857,0.101,0.856
"1389","Procyonidae","Plesictis","stenoplesictoides","Inferred_teeth",0.284,0.559,0.041,0.97,0,0.978
"174","Musteloidea_not_assigned_to_family","Plesiogale","angustifrons","Inferred_teeth",0.219,0.416,0,0.954,0.052,0.988
"1533","Musteloidea_not_assigned_to_family","Plesiogale","postfelina","Inferred_teeth",0.246,-0.123,0.054,0.734,0,0.756
"546","Mustelidae","Plesiogulo","botori","Inferred_teeth",0.262,1.423,0,1.389,0.048,1.442
"1148","Mustelidae","Plesiogulo","brachygnathus","Inferred_teeth",0.261,1.03,0.048,1.223,0,1.279
"1093","Mustelidae","Plesiogulo","crassa","Inferred_teeth",0.277,1.279,0.051,1.322,0,1.387
"530","Mustelidae","Plesiogulo","lindsayi","Inferred_teeth",0.256,1.391,0,1.371,0,1.433
"495","Mustelidae","Plesiogulo","marshalli","Inferred_teeth",0.255,1.27,0,1.322,0,1.38
"519","Mustelidae","Plesiogulo","monspessulanus","Inferred_teeth",0.26,1.446,0,1.363,0,1.486
"420","Mustelidae","Plesiogulo","praecocidens","Inferred_teeth",0.253,1.049,0,1.228,0.046,1.289
"1430","Mephetidae","Plesiomeles","cajali","Inferred_teeth",0.258,0.245,0.061,0.846,0,0.924
"639","Hyanidae","Pliocrocuta","perrieri","Inferred_teeth",0.266,1.669,0,1.546,0,1.395
"1023","Amphicyonidae","Pliocyon","medius","Measured",0,2.124,0.051,1.422,0,1.517
"1019","Amphicyonidae","Pliocyon","robustus","Inferred_teeth",0.236,2.2,0.055,1.43,0,1.521
"1534","Mephetidae","Pliogale","furlongi","Inferred_teeth",0.289,-0.29,0.06,0.686,0,0.748
"1431","Mephetidae","Pliogale","manka","Inferred_teeth",0.242,0.114,0.048,0.849,0,0.924
"1113","Ursidae","Plionarctos","edensis","Inferred_teeth",0.259,2.091,0.055,1.206,0,1.356
"1125","Ursidae","Plionarctos","harroldorum","Inferred_teeth",0.252,2.028,0.053,1.18,0,1.328
"1375","Mustelidae","Plionictis","buwaldi","Inferred_teeth",0.268,0.322,0.056,0.937,0,0.996
"1433","Mustelidae","Plionictis","gazini","Inferred_teeth",0.215,0.16,0.043,0.871,0,0.924
"1382","Mustelidae","Plionictis","kinseyi","Inferred_teeth",0.213,0.302,0.043,0.929,0,0.987
"915","Mustelidae","Plionictis","oaxacaensis","Inferred_Phylogeny",0.317,0.252,0.104,0.906,0.102,0.967
"98","Mustelidae","Plionictis","ogygia","Inferred_teeth",0.255,0.032,0,0.857,0,0.833
"1443","Mustelidae","Plionictis","oregonensis","Inferred_teeth",0.255,0.122,0.052,0.855,0,0.908
"1421","Mustelidae","Plionictis","parviloba","Inferred_teeth",0.228,0.206,0.047,0.889,0,0.944
"132","Mustelidae","Pliotaxidea","garberi","Inferred_teeth",0.284,0.48,0,0.908,0,0.982
"1383","Mustelidae","Pliotaxidea","nevadensis","Inferred_teeth",0.289,0.504,0.048,0.924,0,0.987
"257","Hyanidae","Plioviverrops","faventinus","Inferred_teeth",0.289,0.659,0,1.051,0,1.032
"1311","Hyanidae","Plioviverrops","gaudryi","Inferred_teeth",0.287,0.782,0.053,1.125,0,1.063
"1440","Hyanidae","Plioviverrops","gervaisi","Inferred_teeth",0.207,0.471,0.036,1.013,0,0.914
"1298","Hyanidae","Plioviverrops","guerini","Inferred_teeth",0.287,0.82,0.053,1.14,0,1.079
"190","Hyanidae","Plioviverrops","orbignyi","Inferred_teeth",0.279,0.473,0,0.975,0,0.952
"1033","Ursidae","Plithocyon","antunesi","Inferred_teeth",0.324,2.021,0.063,1.384,0,1.496
"1047","Ursidae","Plithocyon","armagnacensis","Inferred_teeth",0.347,1.945,0.069,1.353,0,1.462
"1036","Ursidae","Plithocyon","barstowensis","Inferred_teeth",0.335,2.003,0.066,1.377,0,1.488
"1134","Ursidae","Plithocyon","bruneti","Inferred_teeth",0.324,1.589,0.063,1.209,0,1.307
"1069","Ursidae","Plithocyon","conquense","Inferred_teeth",0.326,1.855,0.064,1.317,0,1.423
"1014","Ursidae","Plithocyon","ursinus","Inferred_teeth",0.334,2.104,0.066,1.417,0,1.531
"1492","Mustelidae","Poecilogale","albinucha","Measured",0,-0.469,0.061,0.725,0,0.82
"1112","Nimravidae","Pogonodon","davisi","Inferred_teeth",0.314,1.607,0.056,1.387,0,1.356
"1082","Nimravidae","Pogonodon","platycopis","Inferred_teeth",0.339,1.707,0.063,1.427,0,1.4
"980","Viverridae","Poiana","leightoni","Measured",0,-0.222,0.135,0.786,0.128,0.791
"981","Viverridae","Poiana","richardsonii","Measured",0,-0.301,0.135,0.764,0.128,0.769
"1326","Mustelidae","Polgardia","pannonica","Inferred_teeth",0.283,0.447,0.078,0.887,0,1.045
"941","Procyonidae","Potos","flavus","Measured",0,0.477,0.12,0.918,0.116,0.949
"1042","Felidae","Pratifelis","martini","Inferred_teeth",0.279,2.232,0.048,1.59,0,1.47
"1528","Mustelidae","Prepoecilogale","bolti","Inferred_teeth",0.239,-0.45,0.058,0.684,0,0.767
"243","Felidae","Prionailurus","bengalensis","Measured",0,0.519,0,1.029,0,0.903
"239","Felidae","Prionailurus","planiceps","Measured",0,0.829,0,1.021,0,0.908
"123","Felidae","Prionailurus","rubiginosus","Measured",0,0.141,0,0.892,0,0.771
"375","Felidae","Prionailurus","viverrinus","Measured",0,0.961,0,1.173,0,1.025
"925","Prionodontidae","Prionodon","linsang","Measured",0,-0.155,0.138,0.795,0.136,0.727
"926","Prionodontidae","Prionodon","pardicolor","Measured",0,-0.291,0.138,0.757,0.136,0.689
"1346","Felidae","Pristifelis","attica","Inferred_teeth",0.276,0.947,0.061,1.134,0,1.027
"754","Ailuridae","Pristinailurus","bristoli","Inferred_Phylogeny",0.425,0.912,0.142,1.005,0.142,1.104
"22","Viverravidae","Pristinictis","connata","Inferred_teeth",0.189,-0.29,0,0.699,0.04,0.652
"1325","Felidae","Proailurus","bournonnensis","Inferred_teeth",0.265,0.958,0.057,1.121,0,1.045
"1263","Felidae","Proailurus","lemanensis","Inferred_teeth",0.272,1.109,0.059,1.182,0,1.111
"1233","Felidae","Proailurus","major","Inferred_teeth",0.265,1.232,0.057,1.231,0,1.164
"1456","Procyonidae","Probassariscus","matthewi","Inferred_teeth",0.292,0.289,0.062,0.86,0,0.892
"241","Miacidae","Procynodictis","progressus","Inferred_teeth",0.27,0.713,0,1.025,0,0.954
"178","Miacidae","Procynodictis","vulpiceps","Inferred_teeth",0.278,0.588,0,0.959,0.054,0.915
"942","Procyonidae","Procyon","cancrivorus","Measured",0,0.842,0.088,0.988,0.084,1.05
"1373","Procyonidae","Procyon","lotor","Measured",0,0.816,0.055,0.948,0,1
"943","Procyonidae","Procyon","pygmaeus","Measured",0,0.398,0.094,0.873,0.092,0.934
"221","Procyonidae","Procyon","rexroadensis","Inferred_teeth",0.226,0.854,0,1.007,0,1.096
"1328","Miacidae","Prodaphaenus","scotti","Inferred_teeth",0.33,0.836,0.062,1.06,0,1.041
"182","Miacidae","Prohesperocyon","wilsoni","Inferred_teeth",0.351,0.614,0,0.959,0,0.959
"916","Mustelidae","Promartes","darbyi","Inferred_Phylogeny",0.375,0.613,0.119,1.015,0.119,1.02
"917","Mustelidae","Promartes","gemmarosae","Inferred_Phylogeny",0.39,0.619,0.125,1.017,0.125,1.022
"136","Mustelidae","Promartes","lepidus","Inferred_teeth",0.274,0.383,0,0.914,0.053,0.927
"558","Felidae","Promegantereon","ogygia","Inferred_teeth",0.296,1.681,0,1.401,0,1.286
"1343","Mustelidae","Promeles","macedonicus","Inferred_teeth",0.297,0.412,0.074,0.905,0,1.029
"1247","Mustelidae","Promeles","palaeattica","Inferred_teeth",0.286,0.694,0.072,1.019,0,1.152
"1350","Mephetidae","Promephitis","alexeevi","Inferred_teeth",0.318,0.424,0.053,0.917,0,1.025
"1408","Mephetidae","Promephitis","brevirostris","Inferred_teeth",0.315,0.251,0.046,0.842,0,0.954
"74","Mephetidae","Promephitis","hootoni","Inferred_teeth",0.302,0.225,0,0.826,0,0.948
"128","Mephetidae","Promephitis","lartetii","Inferred_teeth",0.308,0.259,0,0.903,0,0.903
"1353","Mephetidae","Promephitis","maeotica","Inferred_teeth",0.316,0.409,0.047,0.908,0,1.021
"43","Mephetidae","Promephitis","majori","Inferred_teeth",0.307,0.082,0,0.756,0,0.898
"1409","Mephetidae","Promephitis","malustenensis","Inferred_teeth",0.325,0.236,0.047,0.83,0,0.954
"145","Mephetidae","Promephitis","maxima","Inferred_teeth",0.324,0.542,0,0.924,0,1.114
"33","Mephetidae","Promephitis","parvus","Inferred_teeth",0.298,-0.013,0,0.732,0,0.842
"51","Mephetidae","Promephitis","pristinidens","Inferred_teeth",0.297,0.112,0,0.785,0.04,0.895
"57","Mephetidae","Promephitis","qinensis","Inferred_teeth",0.275,0.145,0,0.799,0,0.908
"1476","Mustelidae","Proputorius","lufengensis","Inferred_teeth",0.278,0.003,0.059,0.805,0,0.869
"1467","Mustelidae","Proputorius","minimus","Inferred_teeth",0.278,0.016,0.059,0.81,0,0.875
"1546","Mustelidae","Proputorius","pusillus","Inferred_teeth",0.238,-0.349,0.051,0.663,0,0.716
"1230","Mustelidae","Proputorius","sansaniensis","Inferred_teeth",0.249,0.695,0.054,1.085,0,1.17
"1425","Mustelidae","Proputorius","yaogouensis","Inferred_teeth",0.272,0.165,0.058,0.87,0,0.94
"443","Barbourofelidae","Prosansanosmilus","eggeri","Inferred_teeth",0.236,1.238,0,1.255,0,1.097
"1176","Barbourofelidae","Prosansanosmilus","peregrinus","Inferred_teeth",0.235,1.51,0.039,1.35,0,1.23
"836","Hyanidae","Proteles","amplidentus","Inferred_Phylogeny",0.367,1.104,0.142,1.306,0.141,1.198
"837","Hyanidae","Proteles","cristata","Measured",0,1,0.105,1.276,0.104,1.169
"545","Canidae","Protepicyon","raki","Inferred_teeth",0.365,1.672,0,1.387,0,1.425
"183","Viverravidae","Protictis","agastor","Inferred_teeth",0.222,0.261,0,0.959,0,0.849
"321","Viverravidae","Protictis","aprophatos","Inferred_teeth",0.316,0.622,0,1.109,0.052,1.002
"154","Viverravidae","Protictis","dellensis","Inferred_teeth",0.245,0.303,0,0.932,0,0.908
"227","Viverravidae","Protictis","haydenianus","Inferred_teeth",0.232,0.37,0,1.011,0,0.889
"1579","Viverravidae","Protictis","laytoni","Inferred_teeth",0.235,-0.384,0.026,0.685,0,0.581
"153","Viverravidae","Protictis","minor","Inferred_teeth",0.19,0.183,0,0.929,0,0.813
"1573","Viverravidae","Protictis","paralus","Inferred_teeth",0.231,-0.28,0.034,0.736,0,0.617
"62","Viverravidae","Protictis","schaffi","Inferred_teeth",0.232,-0.062,0,0.806,0,0.729
"297","Viverravidae","Protictis","simpsoni","Inferred_teeth",0.19,0.511,0,1.083,0,0.936
"1238","Hyanidae","Protictitherium","aegaeum","Inferred_teeth",0.29,0.999,0.048,1.204,0,1.161
"1349","Hyanidae","Protictitherium","cingulatum","Inferred_teeth",0.259,0.698,0.044,1.087,0,1.025
"451","Hyanidae","Protictitherium","crassum","Inferred_teeth",0.285,1.051,0,1.265,0,1.147
"838","Hyanidae","Protictitherium","csakvarense","Inferred_Phylogeny",0.354,0.796,0.099,1.122,0.096,1.073
"1307","Hyanidae","Protictitherium","gaillardi","Inferred_teeth",0.278,0.828,0.055,1.154,0,1.069
"1377","Hyanidae","Protictitherium","intermedium","Inferred_teeth",0.275,0.644,0.052,1.073,0,0.995
"1274","Hyanidae","Protictitherium","llopisi","Inferred_teeth",0.279,0.86,0.045,1.148,0,1.1
"212","Hyanidae","Protictitherium","punixum","Inferred_teeth",0.269,0.511,0,1,0.043,0.955
"839","Hyanidae","Protictitherium","sumegense","Inferred_Phylogeny",0.351,0.769,0.1,1.113,0.098,1.059
"303","Hyanidae","Protictitherium","thessalonikensis","Inferred_teeth",0.269,0.74,0,1.09,0,1.057
