"species","RBL","RLGA","M1BS","M2S","p4S"
"Cerdocyon_avius",0.644321676129843,0.897169750202448,0.0969281892112324,0.442103559662692,0.404517067894812
"Cerdocyon_texanus",0.642083897000011,0.894426694000003,0.104354518999998,0.433440254000003,0.419871795000005
"Chrysocyon_nearcticus",0.714000000000015,0.675717908904973,0.116035598612672,0.373290330303436,0.456913526885587
"Cormocyon_copei",0.614145031000011,0.940906487000006,0.0909090910000003,0.443476725999988,0.509202453999993
"Cormocyon_haydeni",0.674973977000002,0.866141001999982,0.102755790000002,0.473562803999994,0.410180661000009
"Cynarctoides_acridens",0.657000000000003,1.05558378700002,0.0927159010000008,0.533066764999999,0.442086696999993
"Cynarctoides_emryi",0.541,1.31169436909461,0.0643532526388886,0.57832687237954,0.412837759668916
"Cynarctoides_gawnae",0.674999999999995,0.897295142999982,0.100201206999999,0.494271573999993,0.366229624000008
"Cynarctoides_harlowi",0.620000000000004,1.04294000242839,0.084474520466747,0.511359618436502,0.440195605529358
"Cynarctoides_lemur",0.622530546999997,0.986086015999974,0.0840899538103379,0.486016882000001,0.399999999999994
"Cynarctoides_luskensis",0.647189247000017,1.042291954,0.087491091,0.560993063999997,0.462345321999991
"Cynarctoides_whistleri",0.630999999999983,1.01937937368497,0.0870950655746052,0.510010370294322,0.440464054166018
"Cynarctus_crucidens",0.519811034999989,1.73214636800002,0.0574733050000005,0.737923393999988,0.482522399000003
"Cynarctus_galushai",0.656941072999993,0.921760428999985,0.0975337569999983,0.476109834999992,0.540386451000007
"Cynarctus_marylandica",0.625304644417376,1.10470220253453,0.0884645576085621,0.55032913070662,0.5218184517455
"Cynarctus_saxatilis",0.560439560000005,1.29178606100002,0.0704149729999987,0.604931559000002,0.523391812999993
"Cynarctus_voorhiesi",0.609195402,1.31966451800001,0.0804223518897751,0.697138963000004,0.510218009000013
"Cynarctus_wangi",0.614609101273172,1.16111814997769,0.0850535100439864,0.573138981604895,0.520678652370343
"Cynodesmus_thooides",0.698453577000007,0.733190196999999,0.107914245000002,0.400028664999994,0.534354817999997
"Desmocyon_matthewi",0.662581939999996,0.851834424000003,0.103125313000002,0.437429439000011,0.507908785999987
"Desmocyon_thomsoni",0.680352121000013,0.895802206999982,0.0980046960000003,0.49022020500001,0.502483962999989
"Ectopocynus_antiquus",0.670869014999995,0.747131000999994,0.0963678851818148,0.371036781999995,0.516868676000001
"Ectopocynus_simplicidens",0.755503748000015,0.723112882999999,0.111405525999999,0.402010234999994,0.622358339000007
"Enhydrocyon_basilatus",0.781479039000004,0.528247331999991,0.144781654000001,0.317849362000003,0.571831616999996
"Enhydrocyon_crassidens",0.765768851999987,0.53455413,0.129608599999998,0.299190097999997,0.580420791000002
"Enhydrocyon_pahinsintewakpa",0.736134510000017,0.626171399999987,0.118819568999999,0.338801285999998,0.564161413000005
"Enhydrocyon_stenocephalus",0.724901574999992,0.674617371322583,0.116799933998404,0.360557116365404,0.553349547292856
"Epicyon_aelurodontoides",0.741631838371126,0.586260228958604,0.135226310434159,0.337575864446744,0.636442881219097
